uuid|firstname|lastname|surname|gender|admno|year|dob|bcertno|admissiondate
85364817-AC76-4B45-9206-31038772C729|Carlos|Jaquelyn|Anjolie|MALE|A266|2015|1990|BXJW|Sat Dec 06 22:00:42 EAT 2015
1276B701-766A-4318-8CFE-889BC453A2BB|Vance|Ryan|Gary|MALE|A267|2015|1994|NSHSD|Sat Dec 06 22:00:42 EAT 2014
735FD421-C90E-4F51-B3B2-495062A20D8D|Omar|Teegan|Yardley|MALE|A268|2015|1998|JHJS78|Sat Dec 06 22:00:42 EAT 2015
570039E3-AAB1-4B0A-A547-81177E18C404|Palmer|Kato|Marshall|MALE|A269|2015|1993|JHJDS|Sat Dec 06 22:00:42 EAT 2013
B815EF28-020A-407A-9D15-8A681522FE7C|Warren|Randall|Faith|MALE|A270|2015|1992|MMKLH|Sat Dec 06 22:00:42 EAT 2014
9BA32268-A771-4FD9-ACB5-EA648C1F6DCC|Stone|Marny|Kelly|MALE|A271|2015|1993|HJYU|Sat Dec 06 22:00:42 EAT 2015
578038E6-0BEF-4F6D-81DF-124F916CA831|Tyler|Zorita|Maryam|MALE|A272|2015|1990|KLOP|Sat Dec 06 22:00:42 EAT 2014
4A272923-E402-4E23-B5D6-BAC0BE4CF323|Garrison|Yuli|Jason|MALE|A273|2015|1995|98THJK|Sat Dec 06 22:00:42 EAT 2013
1C0828A9-F44B-4E90-B603-D3148DDC89C7|Travis|Amery|Amber|MALE|A274|2015|1990|UUI89|Sat Dec 06 22:00:42 EAT 2015
CF4A1E2A-572E-429E-B33E-1E6DC7A5A0DC|Dexter|Rahim|Patricia|MALE|A275|2015|1996|JKKH|Sat Dec 06 22:00:42 EAT 2014
E1754E23-4038-4035-B4C2-131DBE87DA0C|Channing|Moses|Montana|MALE|A276|2015|1990|MNJ|Sat Dec 06 22:00:42 EAT 2015
B9B9581B-7D5D-4311-AA4A-ABA104C6ACCA|Daniel|Camille|Ezekiel|MALE|A277|2015|1994|0P98|Sat Dec 06 22:00:42 EAT 2014
3B58CA30-7E79-46B5-B446-F26DF0098FDE|Donovan|Thane|Sawyer|MALE|A278|2015|1998|UJIO9|Sat Dec 06 22:00:42 EAT 2015
D0E82E53-3E3A-4B49-A214-680B5F2D1164|Quinn|Mallory|Akeem|MALE|A279|2015|1993|9807Y|Sat Dec 06 22:00:42 EAT 2013
B38EE08C-6164-449E-8619-FF84676D5D46|Hector|Illiana|Carol|MALE|A280|2015|1992|TRO09|Sat Dec 06 22:00:42 EAT 2014
